id,playerID,award,year,league,tie,notes,createdAt,updatedAt
1,bondto01,Pitching Triple Crown,1877,NL,,,,
2,hinespa01,Triple Crown,1878,NL,,,,
3,heckegu01,Pitching Triple Crown,1884,AA,,,,
4,radboch01,Pitching Triple Crown,1884,NL,,,,
5,oneilti01,Triple Crown,1887,AA,,,,
6,keefeti01,Pitching Triple Crown,1888,NL,,,,
7,clarkjo01,Pitching Triple Crown,1889,NL,,,,
8,rusieam01,Pitching Triple Crown,1894,NL,,,,
9,duffyhu01,Triple Crown,1894,NL,,,,
10,youngcy01,Pitching Triple Crown,1901,AL,,,,
11,lajoina01,Triple Crown,1901,AL,,,,
12,wadderu01,Pitching Triple Crown,1905,AL,,,,
13,mathech01,Pitching Triple Crown,1905,NL,,,,
14,chaseha01,Baseball Magazine All-Star,1908,AL,,1B,,
15,lajoina01,Baseball Magazine All-Star,1908,AL,,2B,,
16,lordha01,Baseball Magazine All-Star,1908,AL,,3B,,
17,crigelo01,Baseball Magazine All-Star,1908,AL,,C,,
18,sullibi03,Baseball Magazine All-Star,1908,AL,,C,,
19,crawfsa01,Baseball Magazine All-Star,1908,AL,,CF,,
20,stonege01,Baseball Magazine All-Star,1908,AL,,LF,,
21,walshed01,Baseball Magazine All-Star,1908,AL,,P1,,
22,youngcy01,Baseball Magazine All-Star,1908,AL,,P2,,
23,wadderu01,Baseball Magazine All-Star,1908,AL,,P3,,
24,jossad01,Baseball Magazine All-Star,1908,AL,,P4,,
25,donovbi01,Baseball Magazine All-Star,1908,AL,,P5,,
26,cobbty01,Baseball Magazine All-Star,1908,AL,,RF,,
27,wallabo01,Baseball Magazine All-Star,1908,AL,,SS,,
28,chaseha01,Baseball Magazine All-Star,1908,ML,,1B,,
29,lajoina01,Baseball Magazine All-Star,1908,ML,,2B,,
30,devliar01,Baseball Magazine All-Star,1908,ML,,3B,,
31,bresnro01,Baseball Magazine All-Star,1908,ML,,C,,
32,klingjo01,Baseball Magazine All-Star,1908,ML,,C,,
33,donlimi01,Baseball Magazine All-Star,1908,ML,,CF,,
34,clarkfr01,Baseball Magazine All-Star,1908,ML,,LF,,
35,walshed01,Baseball Magazine All-Star,1908,ML,,P1,,
36,mathech01,Baseball Magazine All-Star,1908,ML,,P2,,
37,youngcy01,Baseball Magazine All-Star,1908,ML,,P3,,
38,brownmo01,Baseball Magazine All-Star,1908,ML,,P4,,
39,ruckena01,Baseball Magazine All-Star,1908,ML,,P5,,
40,cobbty01,Baseball Magazine All-Star,1908,ML,,RF,,
41,wagneho01,Baseball Magazine All-Star,1908,ML,,SS,,
42,tennefr02,Baseball Magazine All-Star,1908,NL,,1B,,
43,eversjo01,Baseball Magazine All-Star,1908,NL,,2B,,
44,devliar01,Baseball Magazine All-Star,1908,NL,,3B,,
45,bresnro01,Baseball Magazine All-Star,1908,NL,,C,,
46,klingjo01,Baseball Magazine All-Star,1908,NL,,C,,
47,donlimi01,Baseball Magazine All-Star,1908,NL,,CF,,
48,clarkfr01,Baseball Magazine All-Star,1908,NL,,LF,,
49,brownmo01,Baseball Magazine All-Star,1908,NL,,P1,,
50,mathech01,Baseball Magazine All-Star,1908,NL,,P2,,
51,ruckena01,Baseball Magazine All-Star,1908,NL,,P3,,
52,willivi01,Baseball Magazine All-Star,1908,NL,,P4,,
53,reulbed01,Baseball Magazine All-Star,1908,NL,,P5,,
54,schulfr01,Baseball Magazine All-Star,1908,NL,,RF,,
55,wagneho01,Baseball Magazine All-Star,1908,NL,,SS,,
56,mathech01,Pitching Triple Crown,1908,NL,,,,
57,chaseha01,Baseball Magazine All-Star,1909,AL,,1B,,
58,collied01,Baseball Magazine All-Star,1909,AL,,2B,,
59,lordha01,Baseball Magazine All-Star,1909,AL,,3B,,
60,carribi02,Baseball Magazine All-Star,1909,AL,,C1,,
61,sullibi03,Baseball Magazine All-Star,1909,AL,,C2,,
62,streega01,Baseball Magazine All-Star,1909,AL,,C3,,
63,speaktr01,Baseball Magazine All-Star,1909,AL,,CF,,
64,crawfsa01,Baseball Magazine All-Star,1909,AL,,LF,,
65,walshed01,Baseball Magazine All-Star,1909,AL,,P1,,
66,planked01,Baseball Magazine All-Star,1909,AL,,P2,,
67,johnswa01,Baseball Magazine All-Star,1909,AL,,P3,,
68,mullige01,Baseball Magazine All-Star,1909,AL,,P4,,
69,woodjo02,Baseball Magazine All-Star,1909,AL,,P5,,
70,cobbty01,Baseball Magazine All-Star,1909,AL,,RF,,
71,bushdo01,Baseball Magazine All-Star,1909,AL,,SS,,
72,chaseha01,Baseball Magazine All-Star,1909,ML,,1B,,
73,collied01,Baseball Magazine All-Star,1909,ML,,2B,,
74,lordha01,Baseball Magazine All-Star,1909,ML,,3B,,
75,klingjo01,Baseball Magazine All-Star,1909,ML,,C1,,
76,carribi02,Baseball Magazine All-Star,1909,ML,,C2,,
77,gibsoge01,Baseball Magazine All-Star,1909,ML,,C3,,
78,speaktr01,Baseball Magazine All-Star,1909,ML,,CF,,
79,clarkfr01,Baseball Magazine All-Star,1909,ML,,LF,,
80,mathech01,Baseball Magazine All-Star,1909,ML,,P1,,
81,walshed01,Baseball Magazine All-Star,1909,ML,,P2,,
82,brownmo01,Baseball Magazine All-Star,1909,ML,,P3,,
83,adamsba01,Baseball Magazine All-Star,1909,ML,,P4,,
84,planked01,Baseball Magazine All-Star,1909,ML,,P5,,
85,johnswa01,Baseball Magazine All-Star,1909,ML,,P6,,
86,cobbty01,Baseball Magazine All-Star,1909,ML,,RF,,
87,wagneho01,Baseball Magazine All-Star,1909,ML,,SS,,
88,chancfr01,Baseball Magazine All-Star,1909,NL,,1B,,
89,eversjo01,Baseball Magazine All-Star,1909,NL,,2B,,
90,devliar01,Baseball Magazine All-Star,1909,NL,,3B,,
91,klingjo01,Baseball Magazine All-Star,1909,NL,,C1,,
92,gibsoge01,Baseball Magazine All-Star,1909,NL,,C2,,
93,bresnro01,Baseball Magazine All-Star,1909,NL,,C3,,
94,leachto01,Baseball Magazine All-Star,1909,NL,,CF,,
95,clarkfr01,Baseball Magazine All-Star,1909,NL,,LF,,
96,mathech01,Baseball Magazine All-Star,1909,NL,,P1,,
97,brownmo01,Baseball Magazine All-Star,1909,NL,,P2,,
98,reulbed01,Baseball Magazine All-Star,1909,NL,,P3,,
