id,award,year,league,playerID,pointsWon,pointsMax,votesFirst,createdAt,updatedAt
1,Cy Young,1956,ML,fordwh01,1,16,1,,
2,Cy Young,1956,ML,maglisa01,4,16,4,,
3,Cy Young,1956,ML,newcodo01,10,16,10,,
4,Cy Young,1956,ML,spahnwa01,1,16,1,,
5,Cy Young,1957,ML,donovdi01,1,16,1,,
6,Cy Young,1957,ML,spahnwa01,15,16,15,,
7,Cy Young,1958,ML,burdele01,3,16,3,,
8,Cy Young,1958,ML,frienbo01,3,16,3,,
9,Cy Young,1958,ML,spahnwa01,4,16,4,,
10,Cy Young,1958,ML,turlebo01,5,16,5,,
11,Cy Young,1959,ML,jonessa02,2,16,2,,
12,Cy Young,1959,ML,shawbo01,1,16,1,,
13,Cy Young,1959,ML,wynnea01,13,16,13,,
14,Cy Young,1960,ML,brogler01,1,16,1,,
15,Cy Young,1960,ML,lawve01,8,16,8,,
16,Cy Young,1960,ML,mcdanli01,1,16,1,,
17,Cy Young,1960,ML,spahnwa01,4,16,4,,
18,Cy Young,1961,ML,fordwh01,9,18,9,,
19,Cy Young,1961,ML,laryfr01,2,18,2,,
20,Cy Young,1961,ML,spahnwa01,6,18,6,,
21,Cy Young,1962,ML,drysddo01,14,20,14,,
22,Cy Young,1962,ML,piercbi02,1,20,1,,
23,Cy Young,1962,ML,purkebo01,1,20,1,,
24,Cy Young,1962,ML,sanfoja02,4,20,4,,
25,Cy Young,1963,ML,koufasa01,20,20,20,,
26,Cy Young,1964,ML,chancde01,17,20,17,,
27,Cy Young,1964,ML,jacksla01,2,20,2,,
28,Cy Young,1964,ML,koufasa01,1,20,1,,
29,Cy Young,1965,ML,koufasa01,20,20,20,,
30,Cy Young,1966,ML,koufasa01,20,20,20,,
31,Cy Young,1967,AL,horlejo01,2,20,2,,
32,Cy Young,1967,AL,lonboji01,18,20,18,,
33,Cy Young,1967,NL,bunniji01,1,20,1,,
34,Cy Young,1967,NL,jenkife01,1,20,1,,
35,Cy Young,1967,NL,mccormi03,18,20,18,,
36,Cy Young,1968,AL,mclaide01,20,20,20,,
37,Cy Young,1968,NL,gibsobo01,20,20,20,,
38,Cy Young,1969,AL,cuellmi01,10,24,10,,
39,Cy Young,1969,AL,mclaide01,10,24,10,,
40,Cy Young,1969,AL,mcnalda01,1,24,1,,
41,Cy Young,1969,AL,perryji01,3,24,3,,
42,Cy Young,1969,NL,niekrph01,1,24,1,,
43,Cy Young,1969,NL,seaveto01,23,24,23,,
44,Cy Young,1970,AL,cuellmi01,44,120,6,,
45,Cy Young,1970,AL,mcdowsa01,45,120,4,,
46,Cy Young,1970,AL,mcnalda01,47,120,5,,
47,Cy Young,1970,AL,palmeji01,11,120,1,,
48,Cy Young,1970,AL,perraro01,5,120,1,,
49,Cy Young,1970,AL,perryji01,55,120,6,,
50,Cy Young,1970,AL,wrighcl01,9,120,1,,
51,Cy Young,1970,NL,gibsobo01,118,120,23,,
52,Cy Young,1970,NL,giustda01,8,120,0,,
53,Cy Young,1970,NL,grangwa01,3,120,0,,
54,Cy Young,1970,NL,jenkife01,16,120,0,,
55,Cy Young,1970,NL,merriji01,8,120,0,,
56,Cy Young,1970,NL,mortoca01,2,120,0,,
57,Cy Young,1970,NL,nolanga01,5,120,0,,
58,Cy Young,1970,NL,perryga01,51,120,1,,
59,Cy Young,1970,NL,seaveto01,4,120,0,,
60,Cy Young,1970,NL,walkelu01,1,120,0,,
61,Cy Young,1971,AL,bluevi01,98,120,14,,
62,Cy Young,1971,AL,dragodi01,1,120,0,,
63,Cy Young,1971,AL,lolicmi01,85,120,9,,
64,Cy Young,1971,AL,mcnalda01,8,120,0,,
65,Cy Young,1971,AL,messean01,1,120,0,,
66,Cy Young,1971,AL,woodwi01,23,120,1,,
67,Cy Young,1971,NL,downial01,40,120,1,,
68,Cy Young,1971,NL,ellisdo01,9,120,0,,
69,Cy Young,1971,NL,gibsobo01,3,120,0,,
70,Cy Young,1971,NL,jenkife01,97,120,17,,
71,Cy Young,1971,NL,johnsje01,2,120,0,,
72,Cy Young,1971,NL,maricju01,1,120,0,,
73,Cy Young,1971,NL,roberda05,2,120,0,,
74,Cy Young,1971,NL,seaveto01,61,120,6,,
75,Cy Young,1971,NL,stonebi01,1,120,0,,
76,Cy Young,1972,AL,hunteca01,26,120,2,,
77,Cy Young,1972,AL,lolicmi01,27,120,3,,
78,Cy Young,1972,AL,lylesp01,3,120,0,,
79,Cy Young,1972,AL,palmeji01,20,120,2,,
80,Cy Young,1972,AL,perryga01,64,120,9,,
81,Cy Young,1972,AL,ryanno01,2,120,0,,
82,Cy Young,1972,AL,tiantlu01,16,120,1,,
83,Cy Young,1972,AL,woodwi01,58,120,7,,
84,Cy Young,1972,NL,blassst01,35,120,0,,
85,Cy Young,1972,NL,carltst01,120,120,24,,
86,Cy Young,1972,NL,carrocl02,6,120,0,,
87,Cy Young,1972,NL,gibsobo01,3,120,0,,
88,Cy Young,1972,NL,jenkife01,23,120,0,,
89,Cy Young,1972,NL,marshmi01,8,120,0,,
90,Cy Young,1972,NL,nolanga01,6,120,0,,
91,Cy Young,1972,NL,pappami01,3,120,0,,
92,Cy Young,1972,NL,seaveto01,6,120,0,,
93,Cy Young,1972,NL,suttodo01,6,120,0,,
94,Cy Young,1973,AL,bluevi01,1,120,0,,
95,Cy Young,1973,AL,blylebe01,1,120,0,,
96,Cy Young,1973,AL,colboji01,2,120,0,,
97,Cy Young,1973,AL,hillejo01,6,120,0,,
98,Cy Young,1973,AL,hunteca01,52,120,1,,
99,Cy Young,1973,AL,palmeji01,88,120,14,,
100,Cy Young,1973,AL,perryga01,1,120,0,,
101,Cy Young,1973,AL,ryanno01,62,120,9,,
102,Cy Young,1973,AL,woodwi01,3,120,0,,
103,Cy Young,1973,NL,billija01,30,120,2,,
104,Cy Young,1973,NL,bryanro01,50,120,3,,
105,Cy Young,1973,NL,giustda01,1,120,0,,
106,Cy Young,1973,NL,marshmi01,54,120,9,,
107,Cy Young,1973,NL,normafr01,3,120,0,,
108,Cy Young,1973,NL,seaveto01,71,120,10,,
109,Cy Young,1973,NL,suttodo01,7,120,0,,
110,Cy Young,1974,AL,cuellmi01,6,120,0,,
111,Cy Young,1974,AL,hillejo01,1,120,0,,
112,Cy Young,1974,AL,hunteca01,90,120,12,,
113,Cy Young,1974,AL,jenkife01,75,120,10,,
114,Cy Young,1974,AL,perryga01,8,120,1,,
115,Cy Young,1974,AL,ryanno01,28,120,1,,
116,Cy Young,1974,AL,tiantlu01,8,120,0,,
117,Cy Young,1974,NL,billija01,8,120,0,,
118,Cy Young,1974,NL,caprabu01,1,120,0,,
119,Cy Young,1974,NL,carrocl02,2,120,0,,
120,Cy Young,1974,NL,giustda01,1,120,0,,
121,Cy Young,1974,NL,gulledo01,5,120,0,,
122,Cy Young,1974,NL,hraboal01,9,120,0,,
123,Cy Young,1974,NL,marshmi01,96,120,17,,
124,Cy Young,1974,NL,mcgloly01,1,120,0,,
125,Cy Young,1974,NL,messean01,66,120,5,,
126,Cy Young,1974,NL,niekrph01,15,120,1,,
127,Cy Young,1974,NL,suttodo01,12,120,1,,
128,Cy Young,1975,AL,bluevi01,2,120,0,,
129,Cy Young,1975,AL,fingero01,25,120,2,,
130,Cy Young,1975,AL,gossari01,2,120,0,,
131,Cy Young,1975,AL,hunteca01,74,120,7,,
132,Cy Young,1975,AL,kaatji01,7,120,0,,
133,Cy Young,1975,AL,palmeji01,98,120,15,,
134,Cy Young,1975,AL,tananfr01,7,120,0,,
135,Cy Young,1975,AL,wiseri01,1,120,0,,
136,Cy Young,1975,NL,gulledo01,1,120,0,,
137,Cy Young,1975,NL,hraboal01,33,120,2,,
138,Cy Young,1975,NL,jonesra01,80,120,7,,
139,Cy Young,1975,NL,messean01,1,120,0,,
140,Cy Young,1975,NL,montejo01,2,120,0,,
141,Cy Young,1975,NL,seaveto01,98,120,15,,
142,Cy Young,1975,NL,suttodo01,1,120,0,,
143,Cy Young,1976,AL,bluevi01,8,120,0,,
144,Cy Young,1976,AL,campbbi02,7,120,0,,
145,Cy Young,1976,AL,fidryma01,51,120,5,,
