id,playerID,year,stint,GLF,GCF,GRF,createdAt,updatedAt
1,allisar01,1871,1,0,29,0,,
2,ansonca01,1871,1,1,0,0,,
3,armstbo01,1871,1,0,11,1,,
4,barkeal01,1871,1,1,0,0,,
5,barrofr01,1871,1,13,0,4,,
6,battijo01,1871,1,0,0,1,,
7,bealsto01,1871,1,4,0,4,,
8,bechtge01,1871,1,1,3,11,,
9,berkena01,1871,1,0,0,1,,
10,berryto01,1871,1,0,0,1,,
11,berthha01,1871,1,11,1,0,,
12,birdge01,1871,1,1,25,0,,
13,birdsda01,1871,1,0,0,27,,
14,burrohe01,1871,1,4,0,4,,
15,conefr01,1871,1,18,0,1,,
16,connone01,1871,1,0,0,3,,
17,cravebi01,1871,1,0,0,1,,
18,cuthbne01,1871,1,27,0,0,,
19,deaneha01,1871,1,6,0,0,,
20,donnepe01,1871,1,2,1,6,,
21,eggleda01,1871,1,0,33,0,,
22,ewellge01,1871,1,0,0,1,,
23,flynncl01,1871,1,0,0,8,,
24,foleyto01,1871,1,2,9,5,,
25,foranji01,1871,1,3,1,0,,
26,glennjo01,1871,1,1,0,25,,
27,gouldch01,1871,1,0,0,1,,
28,hallge01,1871,1,1,31,0,,
29,hamra01,1871,1,19,0,0,,
30,hastisc01,1871,1,2,1,0,,
31,hatfijo01,1871,1,24,0,0,,
32,heubege01,1871,1,0,0,16,,
33,highadi01,1871,1,0,0,8,,
34,hodesch01,1871,1,0,3,1,,
35,jackssa01,1871,1,0,1,0,,
36,johnsca01,1871,1,0,0,6,,
37,kellybi01,1871,1,1,4,14,,
38,kimbage01,1871,1,2,1,7,,
39,kingma01,1871,1,1,10,0,,
40,kingst01,1871,1,29,0,0,,
41,lennobi01,1871,1,0,0,1,,
42,leonaan01,1871,1,11,0,0,,
43,mackde01,1871,1,1,0,0,,
44,mcderjo01,1871,1,0,2,0,,
45,mcveyca01,1871,1,0,0,5,,
46,millsch01,1871,1,0,0,4,,
47,minched01,1871,1,9,0,0,,
48,nortofr01,1871,1,0,0,1,,
49,paborch01,1871,1,28,0,0,,
50,patteda01,1871,1,9,0,22,,
51,pikeli01,1871,1,0,0,18,,
52,pinkhed01,1871,1,0,0,8,,
53,prattal01,1871,1,5,0,2,,
54,sagerpo01,1871,1,4,0,0,,
55,senseco01,1871,1,0,25,0,,
56,simmojo01,1871,1,0,9,17,,
57,spaldal01,1871,1,0,9,0,,
58,stirega01,1871,1,0,0,25,,
59,suttoez01,1871,1,0,1,1,,
60,treacfr01,1871,1,25,0,0,,
61,whitede01,1871,1,0,0,1,,
62,whiteel01,1871,1,0,0,15,,
63,wrighha01,1871,1,0,30,0,,
64,yorkto01,1871,1,0,29,0,,
65,zettlge01,1871,1,0,0,3,,
66,allenha01,1872,1,4,3,2,,
67,allisan01,1872,1,0,0,1,,
68,allisar01,1872,1,0,17,2,,
69,allisbi01,1872,1,0,1,1,,
70,arnolbi01,1872,1,0,0,2,,
71,barre01,1872,1,8,0,0,,
72,bassjo01,1872,1,0,0,2,,
73,bealsto01,1872,1,0,2,0,,
74,beaveed01,1872,1,1,0,0,,
75,bechtge01,1872,1,13,0,37,,
76,bellast01,1872,1,0,6,0,,
77,bentlcy01,1872,1,0,0,7,,
78,bielaos01,1872,1,0,0,10,,
79,birdsda01,1872,1,4,0,4,,
80,boothed01,1872,1,0,3,1,,
81,boothed01,1872,2,6,0,8,,
82,boydbi01,1872,1,0,0,1,,
83,brainas01,1872,2,0,0,1,,
84,brownol01,1872,1,0,0,4,,
85,burrohe01,1872,1,0,2,0,,
86,buttefr01,1872,1,0,0,8,,
87,careyto01,1872,1,0,0,3,,
88,clappjo01,1872,1,0,1,0,,
89,clintji01,1872,1,0,8,3,,
90,coughde01,1872,1,0,5,0,,
91,cravebi01,1872,1,0,0,4,,
92,cummica01,1872,1,1,0,1,,
93,cuthbne01,1872,1,47,0,0,,
94,doschhe01,1872,1,0,0,6,,
95,eggleda01,1872,1,1,55,0,,
96,fieldge01,1872,1,1,0,4,,
97,fishech01,1872,1,0,3,17,,
98,fleetfr01,1872,1,0,1,1,,
99,fletcge01,1872,1,0,0,2,,
100,gedneco01,1872,1,0,9,0,,
101,gedneco01,1872,2,18,0,0,,
102,glennjo01,1872,1,9,0,0,,
103,glennjo01,1872,2,0,1,0,,
104,gouldch01,1872,1,0,0,2,,
105,hallge01,1872,1,3,51,0,,
106,hastisc01,1872,1,0,3,5,,
107,hastisc01,1872,2,0,1,0,,
108,heubege01,1872,1,0,5,0,,
109,hicksna01,1872,1,0,0,3,,
110,higby01,1872,1,0,0,1,,
111,highadi01,1872,1,0,2,22,,
112,hodesch01,1872,1,0,4,0,,
113,huntdi01,1872,1,0,0,8,,
114,hurledi01,1872,1,0,0,2,,
115,jackssa01,1872,1,3,0,0,,
116,kavan01,1872,1,0,0,2,,
117,kennejo01,1872,1,2,0,1,,
118,kingma01,1872,1,0,3,0,,
119,kingst01,1872,1,25,0,0,,
120,leonaan01,1872,1,38,0,0,,
121,malonma01,1872,1,0,0,2,,
122,martiph01,1872,1,0,0,25,,
123,martiph01,1872,2,0,0,9,,
124,mathebo01,1872,1,0,0,8,,
125,mccarfr01,1872,1,0,18,1,,
126,mcdonja01,1872,1,1,0,14,,
127,mcgeami01,1872,1,0,0,1,,
128,mcmuljo01,1872,1,41,1,11,,
129,mcveyca01,1872,1,2,0,9,,
130,meyerle01,1872,1,0,0,26,,
131,millsch01,1872,1,0,0,4,,
132,minched01,1872,1,11,0,0,,
133,mulle01,1872,1,0,0,1,,
134,nelsoca01,1872,1,0,3,0,,
135,nelsoca01,1872,2,0,8,0,,
136,paborch01,1872,1,19,0,1,,
137,patteda01,1872,1,2,9,0,,
138,pearcdi01,1872,1,1,0,1,,
139,pikeli01,1872,1,6,5,16,,
140,prattal01,1872,1,0,0,6,,
141,reachal01,1872,1,0,0,20,,
142,remseja01,1872,1,0,37,0,,
143,robinva01,1872,1,0,0,7,,
144,rogerfr01,1872,1,4,0,38,,
145,schafha01,1872,1,5,0,0,,
146,senseco01,1872,1,0,0,1,,
147,simmojo01,1872,1,1,0,2,,
148,snydeji01,1872,1,0,0,1,,
149,snydejo01,1872,1,9,0,0,,
150,spaldal01,1872,1,0,7,0,,
151,studlse01,1872,1,0,5,0,,
152,swandma01,1872,1,0,4,0,,
153,sweasch01,1872,1,0,0,1,,
154,thakeal01,1872,1,18,0,0,,
155,tippeji01,1872,1,19,0,0,,
156,treacfr01,1872,1,0,47,0,,
157,whitede01,1872,1,2,1,3,,
158,woltery01,1872,1,0,0,11,,
159,worthhe01,1872,1,0,0,1,,
160,wrighha01,1872,1,0,48,0,,
161,yeatmbi01,1872,1,0,0,1,,
162,yorkto01,1872,1,51,0,1,,
163,zettlge01,1872,1,0,0,8,,
164,zettlge01,1872,2,0,0,1,,
165,addybo01,1873,2,0,0,31,,
166,allisar01,1873,1,8,9,4,,
167,allisdo01,1873,1,0,1,2,,
168,allisdo01,1873,2,0,0,1,,
169,ansonca01,1873,1,0,3,0,,
170,atkined01,1873,1,0,0,2,,
171,austihe01,1873,1,0,14,9,,
172,barrebi01,1873,1,0,0,1,,
173,battijo01,1873,1,0,1,0,,
174,bealsto01,1873,1,1,0,0,,
175,bechtge01,1873,1,0,1,51,,
176,bielaos01,1873,1,2,0,36,,
177,birdsda01,1873,1,0,0,3,,
178,boothed01,1873,1,15,0,2,,
179,boothed01,1873,2,0,4,12,,
180,boydbi01,1873,1,0,0,43,,
181,brainas01,1873,1,0,0,2,,
182,brittji01,1873,1,0,0,3,,
183,campbhu01,1873,1,0,0,1,,
184,campbmi02,1873,1,0,0,1,,
185,clappjo01,1873,1,0,1,0,,
186,cravebi01,1873,1,0,7,0,,
187,cuthbne01,1873,1,51,0,0,,
188,devliji01,1873,1,0,0,1,,
189,donnejo01,1873,1,0,6,0,,
190,doschhe01,1873,1,0,1,0,,
191,eggleda01,1873,1,0,53,0,,
192,eland01,1873,1,0,0,1,,
193,farrojo01,1873,1,0,0,3,,
194,fishech01,1873,1,1,2,43,,
195,frencbi01,1873,1,0,0,2,,
196,gedneco01,1873,1,53,0,0,,
197,hallge01,1873,1,0,35,0,,
198,hastisc01,1873,1,0,12,0,,
199,hatfijo01,1873,1,0,0,1,,
200,highadi01,1873,1,0,1,18,,
201,hinespa01,1873,1,36,0,0,,
202,holliho01,1873,1,0,30,0,,
203,hoopemi01,1873,1,2,0,0,,
204,johnsto01,1873,1,1,0,0,,
205,jones01,1873,1,0,1,0,,
206,kernajo01,1873,1,0,1,0,,
207,kohlehe01,1873,1,0,1,0,,
208,leonaan01,1873,1,45,0,0,,
209,mackde01,1873,1,1,1,3,,
210,mannija01,1873,1,2,0,3,,
211,martiph01,1873,1,0,0,30,,
212,mathebo01,1873,1,0,0,5,,
213,mcbridi01,1873,1,0,0,11,,
214,mcmuljo01,1873,1,51,0,0,,
215,mcveyca01,1873,1,1,4,1,,
216,millsev01,1873,1,0,1,0,,
217,murnati01,1873,1,0,24,6,,
218,nelsoca01,1873,1,0,0,6,,
219,nevinal01,1873,1,0,0,1,,
220,orourji01,1873,1,0,0,22,,
221,paborch01,1873,1,55,0,0,,
222,phelpne01,1873,1,0,0,1,,
223,pikeli01,1873,1,0,2,54,,
224,popplge01,1873,1,0,1,0,,
225,reachal01,1873,1,0,4,3,,
226,remseja01,1873,1,0,50,0,,
227,ryanjo01,1873,1,0,1,0,,
228,saylo01,1873,1,0,0,1,,
229,schafha01,1873,1,13,0,0,,
230,senseco01,1873,1,0,19,0,,
231,sheppjo01,1873,1,1,0,1,,
232,smithbi01,1873,1,0,3,0,,
233,smithjo01,1873,1,2,0,0,,
234,snydepo01,1873,1,0,3,0,,
235,spaldal01,1873,1,0,13,0,,
236,startjo01,1873,1,0,0,2,,
237,strated01,1873,1,0,0,1,,
238,treacfr01,1873,1,1,51,0,,
239,waterfr01,1873,1,0,3,1,,
240,whitede01,1873,1,0,0,9,,
241,wordsfa01,1873,1,0,0,1,,
242,wrighha01,1873,1,0,58,0,,
243,yorkto01,1873,1,56,1,0,,
244,allisdo01,1874,1,0,3,44,,
245,ansonca01,1874,1,0,0,8,,
246,barnero01,1874,1,1,0,0,,
247,barnibi01,1874,1,0,4,25,,
248,battijo01,1874,1,0,2,5,,
249,bealsto01,1874,1,1,2,6,,
250,bechtge01,1874,1,1,0,28,,
251,bielaos01,1874,1,0,1,43,,
252,boardfr01,1874,1,0,0,1,,
253,boothed01,1874,1,44,0,0,,
254,boydbi01,1874,1,0,0,1,,
255,bradyst01,1874,1,0,5,6,,
256,brainas01,1874,1,1,1,0,,
257,burdoja01,1874,1,2,1,0,,
258,chapmja01,1874,1,0,1,52,,
259,clackbo01,1874,1,1,30,0,,
260,clappjo01,1874,1,0,1,14,,
261,clintji01,1874,1,0,1,0,,
262,collida01,1874,1,0,0,2,,
263,cummica01,1874,1,0,0,1,,
264,cuthbne01,1874,1,55,2,0,,
265,deaneha01,1874,1,0,46,0,,
266,devliji01,1874,1,0,0,17,,
267,donnejo01,1874,1,0,0,3,,
268,eggleda01,1874,1,7,50,0,,
269,farreja01,1874,1,0,3,0,,
270,farrojo01,1874,1,0,2,1,,
271,fishech01,1874,1,0,8,6,,
272,fislewe01,1874,1,0,0,1,,
273,fleetfr01,1874,1,1,0,0,,
274,gedneco01,1874,1,51,0,0,,
275,geerbi01,1874,1,1,1,0,,
276,glennjo01,1874,1,2,1,17,,
277,hallge01,1874,1,20,21,7,,
278,hallji01,1874,1,0,0,1,,
279,hastisc01,1874,1,0,12,14,,
280,hatfijo01,1874,1,58,0,0,,
281,hicksna01,1874,1,0,4,0,,
282,highadi01,1874,1,0,3,31,,
283,hinespa01,1874,1,1,50,0,,
284,hodesch01,1874,1,0,13,5,,
285,holdsji01,1874,1,0,3,3,,
286,jones01,1874,1,0,0,1,,
287,kesslhe01,1874,1,2,2,0,,
288,knowdja01,1874,1,4,0,0,,
289,leonaan01,1874,1,51,0,0,,
290,martial01,1874,1,1,0,0,,
291,mathebo01,1874,1,1,0,0,,
292,mcgeami01,1874,1,0,0,4,,
293,mcgeepa01,1874,1,6,9,0,,
294,mcmuljo01,1874,1,5,51,1,,
295,mcveyca01,1874,1,0,8,49,,
296,meyerle01,1874,1,2,0,3,,
297,milleto01,1874,1,0,1,1,,
298,murnati01,1874,1,0,1,13,,
299,nelsoca01,1874,1,0,1,0,,
300,oneal01,1874,1,0,0,1,,
301,paborch01,1874,1,2,3,13,,
302,patteda01,1874,1,1,0,0,,
303,phelpne01,1874,1,0,0,6,,
304,pikeli01,1874,1,0,27,0,,
305,radcljo01,1874,1,0,1,14,,
306,reachal01,1874,1,0,0,14,,
307,reedhu01,1874,1,0,0,1,,
308,remseja01,1874,1,8,57,0,,
309,revilhe01,1874,1,0,0,1,,
310,ryanjo01,1874,1,47,0,0,,
311,selmafr01,1874,1,0,1,1,,
312,senseco01,1874,1,0,1,4,,
313,shaffor01,1874,1,8,0,1,,
314,shaffor01,1874,2,0,0,1,,
315,spaldal01,1874,1,0,6,0,,
316,startjo01,1874,1,1,1,0,,
317,stearbi01,1874,1,0,4,15,,
318,sweasch01,1874,1,0,0,1,,
319,tippeji01,1874,1,45,0,0,,
320,treacfr01,1874,1,2,11,24,,
321,whitede01,1874,1,0,0,21,,
