id,playerID,year,stint,teamName,teamID,league,position,games,GS,InnOuts,PO,assists,errors,DP,PB,WP,SB,CS,ZR,createdAt,updatedAt
1,aaronha01,1954,1,ML1,1954ML1,NL,LF,105,102,2773,205,4,6,0,,,,,,,
2,aaronha01,1954,1,ML1,1954ML1,NL,RF,11,11,320,12,1,1,1,,,,,,,
3,abramca01,1954,1,PIT,1954PIT,NL,LF,5,5,120,12,2,0,0,,,,,,,
4,abramca01,1954,1,PIT,1954PIT,NL,RF,8,6,173,11,0,0,0,,,,,,,
5,abramca01,1954,2,BAL,1954BAL,AL,CF,12,12,300,36,1,0,0,,,,,,,
6,abramca01,1954,2,BAL,1954BAL,AL,RF,103,98,2638,213,5,6,1,,,,,,,
7,amorosa01,1954,1,BRO,1954BRO,NL,CF,2,1,33,1,0,0,0,,,,,,,
8,amorosa01,1954,1,BRO,1954BRO,NL,LF,69,67,1786,148,6,2,1,,,,,,,
9,amorosa01,1954,1,BRO,1954BRO,NL,RF,2,0,2,0,0,0,0,,,,,,,
10,ashburi01,1954,1,PHI,1954PHI,NL,CF,153,153,4027,488,12,8,2,,,,,,,
11,bauerha01,1954,1,NYA,1954NYA,AL,LF,8,3,164,9,1,0,0,,,,,,,
12,bauerha01,1954,1,NYA,1954NYA,AL,RF,104,87,2322,168,5,2,1,,,,,,,
13,baumhfr01,1954,1,CHN,1954CHN,NL,CF,62,58,1416,139,2,1,0,,,,,,,
14,baumhfr01,1954,1,CHN,1954CHN,NL,LF,12,1,75,8,0,0,0,,,,,,,
15,baumhfr01,1954,1,CHN,1954CHN,NL,RF,13,7,227,14,0,1,0,,,,,,,
16,bellgu01,1954,1,CIN,1954CIN,NL,CF,153,152,4034,404,12,5,2,,,,,,,
17,bolgeji01,1954,1,CIN,1954CIN,NL,CF,2,0,9,0,0,0,0,,,,,,,
18,borkobo01,1954,1,CIN,1954CIN,NL,LF,14,10,295,26,2,0,0,,,,,,,
19,borkobo01,1954,1,CIN,1954CIN,NL,RF,22,21,575,43,1,0,1,,,,,,,
20,boydbo01,1954,1,CHA,1954CHA,AL,LF,13,12,257,20,1,1,0,,,,,,,
21,brutobi01,1954,1,ML1,1954ML1,NL,CF,141,129,3580,338,14,7,3,,,,,,,
22,burgeto01,1954,1,SLN,1954SLN,NL,RF,4,2,57,3,0,0,0,,,,,,,
23,busbyji01,1954,1,WS1,1954WS1,AL,CF,155,155,4123,492,6,6,1,,,,,,,
24,cavarph01,1954,1,CHA,1954CHA,AL,LF,2,2,39,1,0,0,0,,,,,,,
25,cavarph01,1954,1,CHA,1954CHA,AL,RF,7,7,153,7,0,1,0,,,,,,,
26,cervbo01,1954,1,NYA,1954NYA,AL,LF,24,21,509,26,1,3,0,,,,,,,
27,clarkme01,1954,1,PHI,1954PHI,NL,LF,20,19,552,39,5,2,1,,,,,,,
28,clarkme01,1954,1,PHI,1954PHI,NL,RF,42,33,914,73,4,2,1,,,,,,,
29,coangi01,1954,1,BAL,1954BAL,AL,CF,32,31,774,75,0,3,0,,,,,,,
30,coangi01,1954,1,BAL,1954BAL,AL,LF,36,33,857,73,1,2,0,,,,,,,
31,delsiji01,1954,1,DET,1954DET,AL,CF,5,4,105,12,0,0,0,,,,,,,
32,delsiji01,1954,1,DET,1954DET,AL,LF,90,79,2103,184,5,1,0,,,,,,,
33,delsiji01,1954,1,DET,1954DET,AL,RF,16,14,327,26,0,0,0,,,,,,,
34,dierich01,1954,1,BAL,1954BAL,AL,CF,119,111,3040,329,16,6,6,,,,,,,
35,dobyla01,1954,1,CLE,1954CLE,AL,CF,153,153,4063,411,14,2,6,,,,,,,
36,durhajo02,1954,1,BAL,1954BAL,AL,CF,1,0,6,0,0,0,0,,,,,,,
37,durhajo02,1954,1,BAL,1954BAL,AL,LF,10,10,261,22,0,2,0,,,,,,,
38,ennisde01,1954,1,PHI,1954PHI,NL,LF,72,71,1898,154,4,9,1,,,,,,,
39,ennisde01,1954,1,PHI,1954PHI,NL,RF,71,70,1871,145,5,5,0,,,,,,,
40,escalni01,1954,1,CIN,1954CIN,NL,CF,4,2,57,6,0,0,0,,,,,,,
41,escalni01,1954,1,CIN,1954CIN,NL,LF,1,0,6,0,0,0,0,,,,,,,
42,escalni01,1954,1,CIN,1954CIN,NL,RF,10,6,164,16,3,1,2,,,,,,,
43,eversho01,1954,1,BOS,1954BOS,AL,LF,1,1,24,1,0,0,0,,,,,,,
44,eversho01,1954,2,NY1,1954NY1,NL,CF,2,0,27,2,0,0,0,,,,,,,
45,eversho01,1954,2,NY1,1954NY1,NL,LF,2,0,7,2,0,0,0,,,,,,,
46,eversho01,1954,3,DET,1954DET,AL,CF,2,1,35,6,0,0,0,,,,,,,
47,eversho01,1954,3,DET,1954DET,AL,LF,17,7,256,20,1,0,0,,,,,,,
48,eversho01,1954,3,DET,1954DET,AL,RF,6,4,123,7,0,0,0,,,,,,,
49,frazijo01,1954,1,SLN,1954SLN,NL,LF,2,2,45,4,0,1,0,,,,,,,
50,frazijo01,1954,1,SLN,1954SLN,NL,RF,9,6,134,11,0,0,0,,,,,,,
51,fridlji01,1954,1,BAL,1954BAL,AL,LF,64,58,1529,128,1,2,0,,,,,,,
52,fridlji01,1954,1,BAL,1954BAL,AL,RF,3,1,43,4,0,0,0,,,,,,,
53,furilca01,1954,1,BRO,1954BRO,NL,CF,5,4,107,8,0,0,0,,,,,,,
54,furilca01,1954,1,BRO,1954BRO,NL,LF,3,0,2,0,0,0,0,,,,,,,
55,furilca01,1954,1,BRO,1954BRO,NL,RF,146,139,3805,300,9,9,3,,,,,,,
56,gilliji01,1954,1,BRO,1954BRO,NL,LF,2,2,50,5,0,0,0,,,,,,,
57,gilliji01,1954,1,BRO,1954BRO,NL,RF,4,3,72,4,1,0,0,,,,,,,
58,glynnbi01,1954,1,CLE,1954CLE,AL,RF,1,0,3,0,0,0,0,,,,,,,
59,goodmbi01,1954,1,BOS,1954BOS,AL,LF,13,12,303,14,1,1,0,,,,,,,
60,gordosi01,1954,1,PIT,1954PIT,NL,LF,7,6,147,18,1,0,0,,,,,,,
61,gordosi01,1954,1,PIT,1954PIT,NL,RF,67,61,1588,102,9,3,1,,,,,,,
62,greenji02,1954,1,CIN,1954CIN,NL,LF,137,137,3616,300,9,9,0,,,,,,,
