id,playerID,year,teamName,teamID,league,round,position,games,GS,InnOuts,PO,assists,errors,DP,TP,PB,SB,CS,createdAt,updatedAt
1,beaumgi01,1903,PIT,1903PIT,NL,WS,CF,8,8,210,21,0,0,0,0,,,,,
2,branski01,1903,PIT,1903PIT,NL,WS,1B,8,8,210,81,6,3,5,0,,,,,
3,clarkfr01,1903,PIT,1903PIT,NL,WS,LF,8,8,210,18,0,1,0,0,,,,,
4,colliji01,1903,BOS,1903BOS,AL,WS,3B,8,8,213,9,18,1,1,0,,,,,
5,crigelo01,1903,BOS,1903BOS,AL,WS,C,8,8,213,54,7,3,2,0,0,,,,
6,dinnebi01,1903,BOS,1903BOS,AL,WS,P,4,4,105,2,9,0,0,0,,,,,
7,doughpa01,1903,BOS,1903BOS,AL,WS,LF,8,8,213,13,3,1,1,0,,,,,
8,ferriho01,1903,BOS,1903BOS,AL,WS,2B,8,8,213,18,23,2,2,0,,,,,
9,freembu01,1903,BOS,1903BOS,AL,WS,RF,8,8,213,10,0,0,0,0,,,,,
10,hugheto01,1903,BOS,1903BOS,AL,WS,P,1,1,6,0,0,0,0,0,,,,,
11,kennebr01,1903,PIT,1903PIT,NL,WS,P,1,1,21,0,1,0,0,0,,,,,
12,lachaca01,1903,BOS,1903BOS,AL,WS,1B,8,8,213,77,3,3,3,0,,,,,
13,leachto01,1903,PIT,1903PIT,NL,WS,3B,8,8,210,5,16,4,0,0,,,,,
14,leevesa01,1903,PIT,1903PIT,NL,WS,P,2,2,30,0,2,0,0,0,,,,,
15,parenfr01,1903,BOS,1903BOS,AL,WS,SS,8,8,213,16,28,3,2,0,,,,,
16,phelped01,1903,PIT,1903PIT,NL,WS,C,7,7,186,36,5,2,0,0,0,,,,
17,phillde01,1903,PIT,1903PIT,NL,WS,P,5,5,132,2,9,1,0,0,,,,,
18,ritchcl01,1903,PIT,1903PIT,NL,WS,2B,8,8,210,20,29,0,5,0,,,,,
19,sebriji01,1903,PIT,1903PIT,NL,WS,RF,8,8,210,13,1,0,0,0,,,,,
20,smithha03,1903,PIT,1903PIT,NL,WS,C,1,1,24,2,1,1,0,0,0,,,,
21,stahlch01,1903,BOS,1903BOS,AL,WS,CF,8,8,213,14,1,0,0,0,,,,,
22,thompgu01,1903,PIT,1903PIT,NL,WS,P,1,0,6,0,1,0,0,0,,,,,
23,veilbu01,1903,PIT,1903PIT,NL,WS,P,1,0,21,0,0,1,0,0,,,,,
24,wagneho01,1903,PIT,1903PIT,NL,WS,SS,8,8,210,12,30,6,4,0,,,,,
25,youngcy01,1903,BOS,1903BOS,AL,WS,P,4,3,102,0,8,1,0,0,,,,,
26,amesre01,1905,NY1,1905NY1,NL,WS,P,1,0,3,0,1,0,0,0,,,,,
27,bendech01,1905,PHA,1905PHA,AL,WS,P,2,2,51,0,4,0,0,0,,,,,
28,bresnro01,1905,NY1,1905NY1,NL,WS,C,5,5,135,27,8,1,1,0,0,,,,
29,brownge01,1905,NY1,1905NY1,NL,WS,RF,5,5,135,3,0,1,0,0,,,,,
30,coaklan01,1905,PHA,1905PHA,AL,WS,P,1,1,27,0,2,0,1,0,,,,,
31,crossla01,1905,PHA,1905PHA,AL,WS,3B,5,5,129,6,6,0,1,0,,,,,
32,crossmo01,1905,PHA,1905PHA,AL,WS,SS,5,5,129,13,12,2,0,0,,,,,
33,dahlebi01,1905,NY1,1905NY1,NL,WS,SS,5,5,135,10,19,0,3,0,,,,,
34,davisha01,1905,PHA,1905PHA,AL,WS,1B,5,5,129,51,1,0,2,0,,,,,
35,devliar01,1905,NY1,1905NY1,NL,WS,3B,5,5,135,7,16,1,0,0,,,,,
36,donlimi01,1905,NY1,1905NY1,NL,WS,CF,5,5,135,16,0,0,0,0,,,,,
37,gilbebi02,1905,NY1,1905NY1,NL,WS,2B,5,5,135,9,15,0,0,0,,,,,
38,hartsto01,1905,PHA,1905PHA,AL,WS,LF,5,5,129,9,1,1,1,0,,,,,
39,lordbr01,1905,PHA,1905PHA,AL,WS,CF,5,5,129,12,0,0,0,0,,,,,
40,mathech01,1905,NY1,1905NY1,NL,WS,P,3,3,81,1,9,2,0,0,,,,,
