id,playerID,year,votedBy,ballots,needed,votes,inducted,category,neededNote,createdAt,updatedAt
1,cobbty01,1936,BBWAA,226,170,222,Y,Player,,,
2,ruthba01,1936,BBWAA,226,170,215,Y,Player,,,
3,wagneho01,1936,BBWAA,226,170,215,Y,Player,,,
4,mathech01,1936,BBWAA,226,170,205,Y,Player,,,
5,johnswa01,1936,BBWAA,226,170,189,Y,Player,,,
6,lajoina01,1936,BBWAA,226,170,146,N,Player,,,
7,speaktr01,1936,BBWAA,226,170,133,N,Player,,,
8,youngcy01,1936,BBWAA,226,170,111,N,Player,,,
9,hornsro01,1936,BBWAA,226,170,105,N,Player,,,
10,cochrmi01,1936,BBWAA,226,170,80,N,Player,,,
11,sislege01,1936,BBWAA,226,170,77,N,Player,,,
12,collied01,1936,BBWAA,226,170,60,N,Player,,,
13,colliji01,1936,BBWAA,226,170,58,N,Player,,,
14,alexape01,1936,BBWAA,226,170,55,N,Player,,,
15,gehrilo01,1936,BBWAA,226,170,51,N,Player,,,
16,bresnro01,1936,BBWAA,226,170,47,N,Player,,,
17,keelewi01,1936,BBWAA,226,170,40,N,Player,,,
18,ansonca01,1936,Veterans,78,59,39,N,Player,,,
19,ewingbu01,1936,Veterans,78,59,39,N,Player,,,
20,keelewi01,1936,Veterans,78,59,33,N,Player,,,
21,wadderu01,1936,BBWAA,226,170,33,N,Player,,,
22,youngcy01,1936,Veterans,78,59,32,N,Player,,,
23,delahed01,1936,Veterans,78,59,21,N,Player,,,
24,foxxji01,1936,BBWAA,226,170,21,N,Player,,,
25,walshed01,1936,BBWAA,226,170,20,N,Player,,,
26,mcgrajo01,1936,Veterans,78,59,17,N,Player,,,
27,delahed01,1936,BBWAA,226,170,17,N,Player,,,
28,radboch01,1936,Veterans,78,59,16,N,Player,,,
29,traynpi01,1936,BBWAA,226,170,16,N,Player,,,
30,kellyki01,1936,Veterans,78,59,15,N,Player,,,
31,longhe01,1936,Veterans,78,59,15,N,Player,,,
32,friscfr01,1936,BBWAA,226,170,14,N,Player,,,
33,grovele01,1936,BBWAA,226,170,12,N,Player,,,
34,jennihu01,1936,Veterans,78,59,11,N,Player,,,
35,rusieam01,1936,Veterans,78,59,11,N,Player,,,
36,chaseha01,1936,BBWAA,226,170,11,N,Player,,,
37,youngro01,1936,BBWAA,226,170,10,N,Player,,,
38,clarkfr01,1936,Veterans,78,59,9,N,Player,,,
39,terrybi01,1936,BBWAA,226,170,9,N,Player,,,
40,colliji01,1936,Veterans,78,59,8,N,Player,,,
41,klingjo01,1936,BBWAA,226,170,8,N,Player,,,
42,crigelo01,1936,BBWAA,226,170,7,N,Player,,,
43,comisch01,1936,Veterans,78,59,6,N,Player,,,
44,dennyje01,1936,Veterans,78,59,6,N,Player,,,
45,langebi01,1936,Veterans,78,59,6,N,Player,,,
46,robinwi01,1936,Veterans,78,59,6,N,Player,,,
