id,year,league,team,teamID,parkID,spanFirst,spanLast,games,openings,attendance,createdAt,updatedAt
1,1871,NA,BS1,1871BS1,BOS01,1871-05-16,1871-10-07,16,16,32600,,
2,1871,NA,BS1,1871BS1,NYC01,1871-05-27,1871-05-27,1,1,3000,,
3,1871,NA,CH1,1871CH1,CHI01,1871-05-08,1871-09-29,16,15,85500,,
4,1871,NA,CH1,1871CH1,NYC01,1871-10-30,1871-10-30,1,1,600,,
5,1871,NA,CL1,1871CL1,CIN01,1871-05-13,1871-07-22,2,2,2200,,
6,1871,NA,CL1,1871CL1,CLE01,1871-05-11,1871-09-27,11,6,9500,,
7,1871,NA,FW1,1871FW1,FOR01,1871-05-04,1871-08-29,9,4,2350,,
8,1871,NA,NY2,1871NY2,NYC01,1871-05-25,1871-09-22,19,18,42050,,
9,1871,NA,PH1,1871PH1,PHI01,1871-06-03,1871-10-18,14,14,52000,,
10,1871,NA,RC1,1871RC1,CHI01,1871-08-08,1871-08-08,1,1,1000,,
11,1871,NA,RC1,1871RC1,RCK01,1871-05-06,1871-08-03,6,5,5200,,
12,1871,NA,TRO,1871TRO,TRO01,1871-05-09,1871-10-23,17,10,14050,,
13,1871,NA,WS3,1871WS3,BAL01,1871-07-08,1871-07-08,1,1,1000,,
14,1871,NA,WS3,1871WS3,CIN01,1871-07-04,1871-07-04,1,1,5500,,
15,1871,NA,WS3,1871WS3,NYC01,1871-07-28,1871-07-28,1,1,1500,,
16,1871,NA,WS3,1871WS3,WAS01,1871-05-05,1871-08-26,11,8,15950,,
17,1872,NA,BL1,1872BL1,BAL02,1872-04-22,1872-10-17,29,19,23100,,
18,1872,NA,BR1,1872BR1,NYC01,1872-05-07,1872-10-22,14,8,3400,,
19,1872,NA,BR2,1872BR2,NYC02,1872-05-06,1872-10-31,18,14,8350,,
20,1872,NA,BS1,1872BS1,BOS01,1872-05-11,1872-10-05,21,21,38400,,
21,1872,NA,CL1,1872CL1,CHI02,1872-05-29,1872-05-30,2,2,5000,,
22,1872,NA,CL1,1872CL1,CLE01,1872-06-01,1872-08-19,5,2,1500,,
23,1872,NA,MID,1872MID,HRT02,1872-06-21,1872-08-09,3,1,600,,
24,1872,NA,MID,1872MID,MID01,1872-05-02,1872-07-27,7,1,500,,
25,1872,NA,MID,1872MID,SPR01,1872-07-23,1872-07-23,1,1,1200,,
26,1872,NA,NY2,1872NY2,NYC01,1872-04-29,1872-10-30,29,28,46750,,
27,1872,NA,PH1,1872PH1,PHI01,1872-05-01,1872-10-07,28,28,66500,,
28,1872,NA,TRO,1872TRO,CHI02,1872-06-17,1872-07-04,4,4,13100,,
29,1872,NA,TRO,1872TRO,TRO01,1872-04-26,1872-06-06,8,7,9500,,
30,1872,NA,WS3,1872WS3,WAS01,1872-04-18,1872-05-24,7,2,700,,
31,1872,NA,WS4,1872WS4,WAS02,1872-04-20,1872-05-25,7,2,450,,
32,1873,NA,BL1,1873BL1,BAL02,1873-04-21,1873-10-21,27,0,0,,
33,1873,NA,BL4,1873BL4,BAL02,1873-04-14,1873-04-14,1,0,0,,
34,1873,NA,BR2,1873BR2,NYC01,1873-05-07,1873-11-01,29,0,0,,
35,1873,NA,BS1,1873BS1,BOS01,1873-04-23,1873-10-13,28,0,0,,
36,1873,NA,BS1,1873BS1,CHI02,1873-08-16,1873-08-16,1,0,0,,
37,1873,NA,BS1,1873BS1,SPR01,1873-07-16,1873-07-16,1,0,0,,
38,1873,NA,ELI,1873ELI,NYC01,1873-06-12,1873-06-12,1,0,0,,
39,1873,NA,ELI,1873ELI,WAV01,1873-04-28,1873-07-23,7,0,0,,
40,1873,NA,NY2,1873NY2,NYC01,1873-05-05,1873-10-21,31,0,0,,
41,1873,NA,PH1,1873PH1,PHI01,1873-04-21,1873-10-29,27,0,0,,
42,1873,NA,PH2,1873PH2,CHI02,1873-08-19,1873-08-19,1,0,0,,
43,1873,NA,PH2,1873PH2,PHI01,1873-05-01,1873-10-16,27,0,0,,
44,1873,NA,WS5,1873WS5,WAS01,1873-04-15,1873-10-23,18,0,0,,
45,1874,NA,BL1,1874BL1,BAL02,1874-04-22,1874-10-14,20,15,11100,,
46,1874,NA,BR2,1874BR2,NYC01,1874-05-05,1874-10-29,29,27,19800,,
47,1874,NA,BS1,1874BS1,BOS01,1874-05-02,1874-10-28,34,32,45300,,
48,1874,NA,BS1,1874BS1,WOR03,1874-10-30,1874-10-30,1,1,500,,
49,1874,NA,CH2,1874CH2,CHI02,1874-05-13,1874-10-10,28,28,75692,,
50,1874,NA,HR1,1874HR1,BOS01,1874-08-12,1874-08-12,1,1,500,,
51,1874,NA,HR1,1874HR1,HRT01,1874-05-01,1874-10-28,30,26,28355,,
52,1874,NA,NY2,1874NY2,NYC01,1874-05-06,1874-10-30,35,32,37600,,
53,1874,NA,PH1,1874PH1,PHI01,1874-04-16,1874-10-24,29,29,29600,,
54,1874,NA,PH2,1874PH2,PHI01,1874-05-04,1874-10-21,25,25,24050,,
55,1875,NA,BR2,1875BR2,NYC01,1875-05-05,1875-10-09,27,26,11324,,
56,1875,NA,BS1,1875BS1,BOS01,1875-04-19,1875-10-30,35,34,46030,,
57,1875,NA,BS1,1875BS1,PRO01,1875-06-22,1875-06-22,1,1,1400,,
58,1875,NA,BS1,1875BS1,SPR01,1875-05-14,1875-05-14,1,1,1600,,
59,1875,NA,CH2,1875CH2,CHI02,1875-05-15,1875-10-02,33,33,61155,,
60,1875,NA,HR1,1875HR1,HRT01,1875-04-24,1875-10-29,38,37,54524,,
61,1875,NA,HR1,1875HR1,PRO01,1875-06-12,1875-06-12,1,1,1200,,
62,1875,NA,KEO,1875KEO,KEO01,1875-05-04,1875-06-14,8,8,4277,,
63,1875,NA,NH1,1875NH1,NEW01,1875-04-26,1875-10-28,26,23,14404,,
64,1875,NA,NH1,1875NH1,NEW02,1875-04-21,1875-04-21,1,1,700,,
65,1875,NA,NY2,1875NY2,NYC01,1875-04-30,1875-10-29,36,36,29202,,
66,1875,NA,PH1,1875PH1,DOV01,1875-06-24,1875-06-24,1,0,0,,
67,1875,NA,PH1,1875PH1,PHI01,1875-04-22,1875-10-28,36,35,45353,,
68,1875,NA,PH1,1875PH1,PHI02,1875-06-04,1875-06-04,1,1,300,,
69,1875,NA,PH2,1875PH2,COV01,1875-09-21,1875-09-21,1,1,800,,
70,1875,NA,PH2,1875PH2,LUD01,1875-09-22,1875-09-22,1,1,500,,
71,1875,NA,PH2,1875PH2,PHI01,1875-04-26,1875-10-25,31,29,25229,,
72,1875,NA,PH3,1875PH3,PHI02,1875-04-21,1875-05-24,7,5,3300,,
73,1875,NA,SL1,1875SL1,STL01,1875-05-04,1875-07-04,14,14,5700,,
74,1875,NA,SL2,1875SL2,STL02,1875-05-06,1875-10-08,34,34,81028,,
75,1875,NA,WS6,1875WS6,BAL02,1875-06-01,1875-06-09,2,1,200,,
76,1875,NA,WS6,1875WS6,RIC01,1875-04-29,1875-05-01,2,2,2000,,
77,1875,NA,WS6,1875WS6,WAS01,1875-04-26,1875-06-08,8,7,8350,,
78,1876,NL,BSN,1876BSN,BOS01,1876-04-29,1876-10-21,36,0,0,,
