id,playerID,year,team,teamID,league,inseason,games,wins,loses,rank,plyrMgr,createdAt,updatedAt
1,wrighha01,1871,BS1,1871BS1,NA,1,31,20,10,3,Y,,
2,woodji01,1871,CH1,1871CH1,NA,1,28,19,9,2,Y,,
3,paborch01,1871,CL1,1871CL1,NA,1,29,10,19,8,Y,,
4,lennobi01,1871,FW1,1871FW1,NA,1,14,5,9,8,Y,,
5,deaneha01,1871,FW1,1871FW1,NA,2,5,2,3,8,Y,,
6,fergubo01,1871,NY2,1871NY2,NA,1,33,16,17,5,Y,,
7,mcbridi01,1871,PH1,1871PH1,NA,1,28,21,7,1,Y,,
8,hastisc01,1871,RC1,1871RC1,NA,1,25,4,21,9,Y,,
9,pikeli01,1871,TRO,1871TRO,NA,1,4,1,3,6,Y,,
10,cravebi01,1871,TRO,1871TRO,NA,2,25,12,12,6,Y,,
11,youngni99,1871,WS3,1871WS3,NA,1,32,15,15,4,N,,
12,cravebi01,1872,BL1,1872BL1,NA,1,41,27,13,2,Y,,
13,millsev01,1872,BL1,1872BL1,NA,2,17,8,6,2,Y,,
14,clintji01,1872,BR1,1872BR1,NA,1,11,0,11,9,Y,,
15,woodji01,1872,BR1,1872BR1,NA,2,18,3,15,9,Y,,
16,fergubo01,1872,BR2,1872BR2,NA,1,37,9,28,7,Y,,
17,wrighha01,1872,BS1,1872BS1,NA,1,48,39,8,1,Y,,
18,hastisc01,1872,CL1,1872CL1,NA,1,20,6,14,7,Y,,
19,whitede01,1872,CL1,1872CL1,NA,2,2,0,2,7,Y,,
20,clappjo01,1872,MID,1872MID,NA,1,24,5,19,9,Y,,
21,pearcdi01,1872,NY2,1872NY2,NA,1,16,10,6,3,Y,,
22,hatfijo01,1872,NY2,1872NY2,NA,2,40,24,14,3,Y,,
23,mcbridi01,1872,PH1,1872PH1,NA,1,47,30,14,2,Y,,
24,woodji01,1872,TRO,1872TRO,NA,1,25,15,10,5,Y,,
25,youngni99,1872,WS3,1872WS3,NA,1,9,2,7,8,N,,
26,millejo01,1872,WS4,1872WS4,NA,1,11,0,11,11,Y,,
27,mcveyca01,1873,BL1,1873BL1,NA,1,33,20,13,3,Y,,
28,careyto01,1873,BL1,1873BL1,NA,2,24,14,9,3,Y,,
29,smithbi01,1873,BL4,1873BL4,NA,1,5,0,5,9,Y,,
30,fergubo01,1873,BR2,1873BR2,NA,1,55,17,37,6,Y,,
31,wrighha01,1873,BS1,1873BS1,NA,1,60,43,16,1,Y,,
32,allisdo01,1873,ELI,1873ELI,NA,1,23,2,21,8,N,,
33,hatfijo01,1873,NY2,1873NY2,NA,1,28,11,17,4,Y,,
34,startjo01,1873,NY2,1873NY2,NA,2,25,18,7,4,Y,,
35,mcbridi01,1873,PH1,1873PH1,NA,1,52,28,23,4,Y,,
36,malonfe01,1873,PH2,1873PH2,NA,1,10,8,2,2,Y,,
37,woodji01,1873,PH2,1873PH2,NA,2,43,28,15,2,Y,,
38,youngni99,1873,WS5,1873WS5,NA,1,39,8,31,7,N,,
39,whitewa01,1874,BL1,1874BL1,NA,1,47,9,38,8,Y,,
40,fergubo01,1874,BR2,1874BR2,NA,1,56,22,33,6,Y,,
41,wrighha01,1874,BS1,1874BS1,NA,1,71,52,18,1,Y,,
42,malonfe01,1874,CH2,1874CH2,NA,1,36,18,18,5,Y,,
43,woodji01,1874,CH2,1874CH2,NA,2,23,10,13,5,N,,
44,pikeli01,1874,HR1,1874HR1,NA,1,53,16,37,7,Y,,
45,careyto01,1874,NY2,1874NY2,NA,1,25,13,12,2,Y,,
46,highadi01,1874,NY2,1874NY2,NA,2,40,29,11,2,Y,,
47,mcbridi01,1874,PH1,1874PH1,NA,1,56,33,23,3,Y,,
48,cravebi01,1874,PH2,1874PH2,NA,1,58,29,29,4,Y,,
49,paborch01,1875,BR2,1875BR2,NA,1,42,2,40,12,Y,,
50,boydbi01,1875,BR2,1875BR2,NA,2,2,0,2,12,Y,,
51,wrighha01,1875,BS1,1875BS1,NA,1,82,71,8,1,Y,,
52,woodji01,1875,CH2,1875CH2,NA,1,69,30,37,6,N,,
53,fergubo01,1875,HR1,1875HR1,NA,1,86,54,28,3,Y,,
54,simmojo01,1875,KEO,1875KEO,NA,1,13,1,12,12,Y,,
55,gouldch01,1875,NH1,1875NH1,NA,1,23,2,21,8,Y,,
56,lathaju01,1875,NH1,1875NH1,NA,2,18,4,14,8,Y,,
57,paborch01,1875,NH1,1875NH1,NA,3,6,1,5,8,Y,,
58,hicksna01,1875,NY2,1875NY2,NA,1,71,30,38,7,Y,,
59,mcbridi01,1875,PH1,1875PH1,NA,1,69,49,18,2,Y,,
60,ansonca01,1875,PH1,1875PH1,NA,2,8,4,2,2,Y,,
61,mcgeami01,1875,PH2,1875PH2,NA,1,63,34,27,5,Y,,
62,addybo01,1875,PH2,1875PH2,NA,2,7,3,4,5,Y,,
63,cravebi01,1875,PH3,1875PH3,NA,1,14,2,12,11,Y,,
64,sweasch01,1875,SL1,1875SL1,NA,1,19,4,15,8,Y,,
65,pearcdi01,1875,SL2,1875SL2,NA,1,72,39,29,4,Y,,
66,holliho01,1875,WS6,1875WS6,NA,1,20,4,16,10,Y,,
67,parksbi01,1875,WS6,1875WS6,NA,2,8,1,7,10,Y,,
68,wrighha01,1876,BSN,1876BSN,NL,1,70,39,31,4,Y,,
69,spaldal01,1876,CHN,1876CHN,NL,1,66,52,14,1,Y,,
70,gouldch01,1876,CN1,1876CN1,NL,1,65,9,56,8,Y,,
71,fergubo01,1876,HAR,1876HAR,NL,1,69,47,21,3,Y,,
72,chapmja01,1876,LS1,1876LS1,NL,1,69,30,36,5,Y,,
73,cravebi01,1876,NY3,1876NY3,NL,1,57,21,35,6,N,,
74,wrighal99,1876,PHN,1876PHN,NL,1,60,14,45,7,N,,
75,graffma99,1876,SL3,1876SL3,NL,1,56,39,17,2,N,,
76,mcmange99,1876,SL3,1876SL3,NL,2,8,6,2,2,N,,
77,wrighha01,1877,BSN,1877BSN,NL,1,61,42,18,1,Y,,
78,spaldal01,1877,CHN,1877CHN,NL,1,60,26,33,5,Y,,
79,pikeli01,1877,CN1,1877CN1,NL,1,14,3,11,6,Y,,
80,addybo01,1877,CN1,1877CN1,NL,2,24,5,19,6,Y,,
81,mannija01,1877,CN1,1877CN1,NL,3,20,7,12,6,Y,,
82,fergubo01,1877,HAR,1877HAR,NL,1,60,31,27,3,Y,,
83,chapmja01,1877,LS1,1877LS1,NL,1,61,35,25,2,N,,
84,mcmange99,1877,SL3,1877SL3,NL,1,60,28,32,4,N,,
85,wrighha01,1878,BSN,1878BSN,NL,1,60,41,19,1,N,,
86,fergubo01,1878,CHN,1878CHN,NL,1,61,30,30,4,Y,,
87,mcveyca01,1878,CN1,1878CN1,NL,1,61,37,23,2,Y,,
88,clappjo01,1878,IN1,1878IN1,NL,1,63,24,36,5,Y,,
89,chapmja01,1878,ML2,1878ML2,NL,1,61,15,45,6,N,,
90,yorkto01,1878,PRO,1878PRO,NL,1,62,33,27,3,Y,,
91,clappjo01,1879,BFN,1879BFN,NL,1,79,46,32,3,Y,,
92,wrighha01,1879,BSN,1879BSN,NL,1,84,54,30,2,N,,
93,ansonca01,1879,CHN,1879CHN,NL,1,64,41,21,4,Y,,
94,flintsi01,1879,CHN,1879CHN,NL,2,19,5,12,4,Y,,
95,mccorji01,1879,CL2,1879CL2,NL,1,82,27,55,6,Y,,
96,whitede01,1879,CN1,1879CN1,NL,1,18,9,9,5,Y,,
97,mcveyca01,1879,CN1,1879CN1,NL,2,63,34,28,5,Y,,
98,wrighge01,1879,PRO,1879PRO,NL,1,85,59,25,1,Y,,
99,dorgami01,1879,SR1,1879SR1,NL,1,43,17,26,7,Y,,
100,holbebi01,1879,SR1,1879SR1,NL,2,1,0,1,7,Y,,
101,maculji01,1879,SR1,1879SR1,NL,3,27,5,21,7,Y,,
102,phillho99,1879,TRN,1879TRN,NL,1,47,12,34,8,N,,
103,fergubo01,1879,TRN,1879TRN,NL,2,30,7,22,8,Y,,
104,cranesa01,1880,BFN,1880BFN,NL,1,84,24,58,7,Y,,
105,wrighha01,1880,BSN,1880BSN,NL,1,86,40,44,6,N,,
106,ansonca01,1880,CHN,1880CHN,NL,1,86,67,17,1,Y,,
107,mccorji01,1880,CL2,1880CL2,NL,1,85,47,37,3,Y,,
108,clappjo01,1880,CN1,1880CN1,NL,1,82,21,59,8,Y,,
109,mcgeami01,1880,PRO,1880PRO,NL,1,16,8,7,2,Y,,
110,wardjo01,1880,PRO,1880PRO,NL,2,32,18,13,2,Y,,
111,dorgami01,1880,PRO,1880PRO,NL,3,39,26,12,2,Y,,
112,fergubo01,1880,TRN,1880TRN,NL,1,83,41,42,4,Y,,
113,bancrfr99,1880,WOR,1880WOR,NL,1,85,40,43,5,N,,
114,orourji01,1881,BFN,1881BFN,NL,1,83,45,38,3,Y,,
