id,year,round,teamWinner,teamIDWinner,lgWinner,teamLoser,teamIDLoser,lgLoser,wins,losses,ties,createdAt,updatedAt
1,1884,WS,PRO,1884PRO,NL,NY4,1884NY4,AA,3,0,0,,
2,1885,WS,CHN,1885CHN,NL,SL4,1885SL4,AA,3,3,1,,
3,1886,WS,SL4,1886SL4,AA,CHN,1886CHN,NL,4,2,0,,
4,1887,WS,DTN,1887DTN,NL,SL4,1887SL4,AA,10,5,0,,
5,1888,WS,NY1,1888NY1,NL,SL4,1888SL4,AA,6,4,0,,
6,1889,WS,NY1,1889NY1,NL,BR3,1889BR3,AA,6,3,0,,
7,1890,WS,BRO,1890BRO,NL,LS2,1890LS2,AA,3,3,1,,
8,1892,CS,BSN,1892BSN,NL,CL4,1892CL4,NL,5,0,1,,
9,1903,WS,BOS,1903BOS,AL,PIT,1903PIT,NL,5,3,0,,
10,1905,WS,NY1,1905NY1,NL,PHA,1905PHA,AL,4,1,0,,
11,1906,WS,CHA,1906CHA,AL,CHN,1906CHN,NL,4,2,0,,
12,1907,WS,CHN,1907CHN,NL,DET,1907DET,AL,4,0,0,,
13,1908,WS,CHN,1908CHN,NL,DET,1908DET,AL,4,1,0,,
14,1909,WS,PIT,1909PIT,NL,DET,1909DET,AL,4,3,0,,
15,1910,WS,PHA,1910PHA,AL,CHN,1910CHN,NL,4,1,0,,
16,1911,WS,PHA,1911PHA,AL,NY1,1911NY1,NL,4,2,0,,
17,1912,WS,BOS,1912BOS,AL,NY1,1912NY1,NL,4,3,0,,
18,1913,WS,PHA,1913PHA,AL,NY1,1913NY1,NL,4,1,0,,
19,1914,WS,BSN,1914BSN,NL,PHA,1914PHA,AL,4,0,0,,
20,1915,WS,BOS,1915BOS,AL,PHI,1915PHI,NL,4,1,0,,
21,1916,WS,BOS,1916BOS,AL,BRO,1916BRO,NL,4,1,0,,
22,1917,WS,CHA,1917CHA,AL,NY1,1917NY1,NL,4,2,0,,
23,1918,WS,BOS,1918BOS,AL,CHN,1918CHN,NL,4,2,0,,
24,1919,WS,CIN,1919CIN,NL,CHA,1919CHA,AL,5,3,0,,
25,1920,WS,CLE,1920CLE,AL,BRO,1920BRO,NL,5,2,0,,
26,1921,WS,NY1,1921NY1,NL,NYA,1921NYA,AL,5,3,0,,
27,1922,WS,NY1,1922NY1,NL,NYA,1922NYA,AL,4,0,0,,
28,1923,WS,NYA,1923NYA,AL,NY1,1923NY1,NL,4,2,0,,
29,1924,WS,WS1,1924WS1,AL,NY1,1924NY1,NL,4,3,0,,
30,1925,WS,PIT,1925PIT,NL,WS1,1925WS1,AL,4,3,0,,
31,1926,WS,SLN,1926SLN,NL,NYA,1926NYA,AL,4,3,0,,
